entry_id,player_id,event_id,timestamp,chance_of_playing_this_round,form,status,fixture_code,opposition_gf,opposition_ga,opposition,is_home,kickoff_time,points_h,points_a,minutes_h,minutes_a,goals_scored_h,goals_scored_a,assists_h,assists_a,clean_sheets_h,clean_sheets_a,goals_conceded_h,goals_conceded_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,bonus_h,bonus_a,influence_h,influence_a,creativity_h,creativity_a,threat_h,threat_a,points_1,points_2,points_3,minutes_1,minutes_2,minutes_3,opposition_strength,response
1130,457,34,2021-04-29 14:46:21,75.0,0.0,d,337,1.36,1.06,15,1,2021-05-02 18:15:00,1.0,1.71,34.75,34.41,0.0,0.0,0.06,0.06,0.06,0.18,0.44,0.35,0.06,0.06,0.06,0.0,0.0,0.24,6.08,7.21,5.71,4.11,3.31,0.47,0,0,0,0.0,0.0,0.0,2.0,0
1131,482,34,2021-04-29 14:46:21,100.0,0.0,a,337,1.36,1.06,15,1,2021-05-02 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1132,521,34,2021-04-29 14:46:21,0.0,0.0,u,337,1.36,1.06,15,1,2021-05-02 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1133,542,34,2021-04-29 14:46:21,100.0,2.0,a,337,1.36,1.06,15,1,2021-05-02 18:15:00,3.13,1.69,60.0,55.88,0.0,0.0,0.33,0.0,0.2,0.19,0.8,0.75,0.07,0.19,0.0,0.0,0.27,0.0,13.28,7.86,7.35,9.04,7.07,6.62,5,1,1,90.0,63.0,90.0,2.0,6
1134,543,34,2021-04-29 14:46:21,100.0,2.8,a,337,1.36,1.06,15,1,2021-05-02 18:15:00,3.67,0.88,21.33,20.25,0.4,0.0,0.07,0.06,0.07,0.12,0.47,0.19,0.0,0.06,0.0,0.0,0.67,0.0,18.17,3.68,9.85,3.8,13.07,5.19,9,0,1,82.0,0.0,8.0,2.0,21
1135,564,34,2021-04-29 14:46:21,100.0,0.2,a,337,1.36,1.06,15,1,2021-05-02 18:15:00,0.29,0.6,8.0,12.87,0.0,0.07,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.37,3.16,0.23,1.58,0.57,8.93,0,0,0,0.0,0.0,0.0,2.0,0
1136,584,34,2021-04-29 14:46:21,,1.0,a,337,1.36,1.06,15,1,2021-05-02 18:15:00,0.31,1.47,14.62,36.07,0.0,0.0,0.0,0.0,0.0,0.13,0.46,0.4,0.0,0.0,0.0,0.0,0.0,0.2,2.95,8.39,0.08,0.17,0.0,0.4,0,1,1,0.0,90.0,90.0,2.0,0
1137,650,34,2021-04-29 14:46:21,,0.0,a,337,1.36,1.06,15,1,2021-05-02 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1138,666,34,2021-04-29 14:46:21,0.0,0.0,i,337,1.36,1.06,15,1,2021-05-02 18:15:00,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1139,15,34,2021-04-29 14:46:21,100.0,3.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,1.94,1.88,38.94,49.82,0.0,0.0,0.0,0.12,0.25,0.12,0.19,0.82,0.06,0.0,0.0,0.0,0.0,0.06,5.31,6.62,2.81,2.99,3.25,3.88,5,1,6,85.0,90.0,90.0,3.0,1
1140,56,34,2021-04-29 14:46:21,,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.12,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1141,358,34,2021-04-29 14:46:21,100.0,5.5,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,2.19,2.29,40.44,45.06,0.19,0.12,0.0,0.18,0.19,0.0,1.25,1.06,0.0,0.0,0.0,0.0,0.31,0.18,8.48,7.24,7.36,6.93,7.25,12.0,2,1,8,66.0,45.0,71.0,3.0,1
1142,407,34,2021-04-29 14:46:21,100.0,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.19,0.12,22.5,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.71,0.0,0.06,0.0,0.06,0.0,0.0,3.44,4.53,1.43,2.48,0.0,0.59,0,0,0,0.0,0.0,0.0,3.0,0
1143,408,34,2021-04-29 14:46:21,100.0,0.5,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.44,0.41,9.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.66,0.45,1.57,0.15,1.75,0.76,0,1,1,0.0,29.0,14.0,3.0,0
1144,409,34,2021-04-29 14:46:21,100.0,0.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.69,0.76,36.88,37.41,0.0,0.0,0.0,0.0,0.06,0.0,1.06,1.0,0.06,0.06,0.06,0.0,0.0,0.0,3.74,4.52,1.99,2.39,1.88,1.35,0,0,0,0.0,0.0,0.0,3.0,0
1145,410,34,2021-04-29 14:46:21,100.0,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.47,0.0,8.65,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,2.07,0.0,0.88,0,0,0,0.0,0.0,0.0,3.0,0
1146,411,34,2021-04-29 14:46:21,100.0,3.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,1.81,1.82,43.19,41.59,0.06,0.06,0.0,0.06,0.19,0.0,1.06,0.76,0.06,0.0,0.0,0.0,0.0,0.18,7.19,7.89,9.6,10.19,10.69,6.41,1,2,8,23.0,90.0,90.0,3.0,1
1147,412,34,2021-04-29 14:46:21,100.0,2.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,3.31,1.18,65.81,63.53,0.19,0.0,0.0,0.06,0.25,0.06,1.06,1.41,0.19,0.06,0.0,0.0,0.19,0.0,19.68,15.58,3.49,0.79,12.19,1.41,1,0,6,90.0,90.0,84.0,3.0,2
1148,413,34,2021-04-29 14:46:21,,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.94,1.06,43.62,46.35,0.0,0.0,0.0,0.0,0.06,0.0,1.56,1.0,0.06,0.06,0.0,0.0,0.0,0.0,3.88,5.32,2.03,4.11,0.25,0.53,0,0,0,0.0,0.0,0.0,3.0,0
1149,414,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.38,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1150,415,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.12,0.18,3.62,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.04,0.12,0.12,1.12,0.47,0,0,0,0.0,0.0,0.0,3.0,0
1151,416,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1152,417,34,2021-04-29 14:46:21,,7.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,4.62,2.94,90.0,84.71,0.0,0.0,0.0,0.06,0.31,0.06,2.06,1.71,0.0,0.0,0.0,0.0,0.75,0.29,33.69,27.49,0.0,0.59,0.0,0.0,6,2,15,90.0,90.0,90.0,3.0,7
1153,418,34,2021-04-29 14:46:21,100.0,2.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,2.56,1.24,49.62,58.24,0.0,0.0,0.0,0.0,0.31,0.06,0.38,1.06,0.0,0.0,0.0,0.0,0.25,0.12,9.24,9.56,10.02,5.77,3.25,3.71,1,1,6,90.0,90.0,90.0,3.0,5
1154,419,34,2021-04-29 14:46:21,100.0,1.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.94,1.76,62.19,78.47,0.0,0.12,0.0,0.06,0.06,0.0,2.0,1.59,0.06,0.12,0.0,0.06,0.06,0.06,12.74,17.08,1.21,1.57,2.44,5.82,1,1,1,90.0,45.0,5.0,3.0,2
1155,420,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1156,421,34,2021-04-29 14:46:21,,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.12,0.18,1.44,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.48,0.08,0.68,1.25,1.12,0,0,0,0.0,0.0,0.0,3.0,0
1157,422,34,2021-04-29 14:46:21,,3.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,2.69,1.82,85.81,65.18,0.0,0.06,0.12,0.06,0.31,0.06,1.88,1.24,0.12,0.12,0.0,0.0,0.06,0.06,13.6,11.66,9.46,4.66,9.56,3.35,1,1,6,90.0,90.0,90.0,3.0,1
1158,423,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.06,0.12,0.06,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.12,0.0,0.03,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1159,425,34,2021-04-29 14:46:21,100.0,2.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,1.62,0.82,63.94,57.94,0.0,0.0,0.0,0.0,0.19,0.0,1.69,1.29,0.12,0.06,0.0,0.0,0.06,0.0,11.86,13.72,2.93,1.36,0.62,2.0,1,1,6,4.0,90.0,90.0,3.0,1
1160,426,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.12,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.14,0.0,0.44,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1161,428,34,2021-04-29 14:46:21,50.0,0.0,d,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.38,0.47,15.5,16.47,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.35,0.06,0.06,0.0,0.0,0.0,0.0,1.74,2.86,1.33,2.04,2.44,2.12,0,0,0,0.0,0.0,0.0,3.0,0
1162,446,34,2021-04-29 14:46:21,100.0,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.94,1.12,33.31,32.53,0.0,0.06,0.0,0.0,0.06,0.0,0.94,0.76,0.0,0.0,0.0,0.0,0.0,0.0,2.39,6.72,3.78,1.65,3.94,5.18,0,0,0,0.0,0.0,0.0,3.0,0
1163,481,34,2021-04-29 14:46:21,100.0,10.5,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,2.94,5.0,70.44,63.94,0.12,0.41,0.12,0.24,0.31,0.06,1.5,1.47,0.06,0.06,0.06,0.0,0.25,0.65,13.85,24.12,26.7,18.0,15.0,16.53,10,2,9,90.0,72.0,90.0,3.0,2
1164,499,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1165,530,34,2021-04-29 14:46:21,0.0,0.2,i,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.87,0.41,26.87,21.24,0.0,0.0,0.0,0.0,0.13,0.0,0.8,0.41,0.07,0.06,0.0,0.0,0.0,0.0,4.15,3.27,0.08,0.68,3.8,0.24,0,0,0,0.0,0.0,0.0,3.0,0
1166,544,34,2021-04-29 14:46:21,100.0,0.5,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,3.0,1.12,72.33,62.19,0.13,0.0,0.13,0.0,0.27,0.06,1.47,0.88,0.2,0.38,0.0,0.0,0.2,0.0,15.63,7.86,8.15,7.45,9.53,6.44,1,0,1,90.0,0.0,18.0,3.0,2
1167,555,34,2021-04-29 14:46:21,0.0,0.0,u,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.57,0.56,17.5,18.5,0.0,0.0,0.0,0.0,0.07,0.0,0.36,0.38,0.0,0.0,0.0,0.0,0.0,0.0,2.11,2.8,5.35,1.79,1.43,1.88,0,0,0,0.0,0.0,0.0,3.0,0
1168,582,34,2021-04-29 14:46:21,100.0,0.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,1.14,1.47,40.57,35.47,0.0,0.07,0.0,0.0,0.21,0.0,1.0,0.67,0.07,0.0,0.0,0.0,0.0,0.2,2.5,3.85,3.08,1.35,9.5,8.4,0,1,0,0.0,17.0,0.0,3.0,0
1169,600,34,2021-04-29 14:46:21,100.0,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.08,0.08,10.38,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.15,0.0,0.08,0.0,0.0,0.0,0.0,1.78,1.72,0.86,0.7,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1170,621,34,2021-04-29 14:46:21,,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1171,639,34,2021-04-29 14:46:21,,0.0,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
1172,648,34,2021-04-29 14:46:21,,5.2,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,3.33,3.86,77.5,82.43,0.17,0.14,0.33,0.43,0.5,0.14,0.5,1.57,0.17,0.14,0.0,0.0,0.0,0.14,12.73,9.46,7.57,10.5,27.0,16.86,5,2,5,90.0,60.0,75.0,3.0,8
1173,654,34,2021-04-29 14:46:21,,2.5,a,338,1.24,1.09,20,1,2021-05-03 17:00:00,3.0,1.43,85.2,66.0,0.0,0.0,0.2,0.0,0.6,0.14,0.4,1.14,0.2,0.29,0.0,0.0,0.0,0.0,15.24,9.49,8.66,5.6,6.8,6.0,1,1,6,90.0,90.0,90.0,3.0,2
1174,301,34,2021-04-29 14:46:21,100.0,8.8,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.88,2.62,31.0,27.88,0.29,0.25,0.12,0.12,0.12,0.06,0.41,0.5,0.06,0.06,0.0,0.0,0.41,0.38,12.99,12.4,3.85,6.4,13.71,11.62,2,7,14,90.0,86.0,90.0,2.0,2
1175,427,34,2021-04-29 14:46:21,100.0,2.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.82,0.75,19.65,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.56,0.0,0.06,0.0,0.0,0.0,0.0,2.12,2.78,2.84,2.52,0.0,0.44,2,2,2,68.0,74.0,81.0,2.0,0
1176,429,34,2021-04-29 14:46:21,,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1177,430,34,2021-04-29 14:46:21,75.0,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.44,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1178,431,34,2021-04-29 14:46:21,100.0,2.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,4.06,3.06,90.0,78.75,0.0,0.0,0.0,0.0,0.29,0.25,1.24,1.25,0.0,0.12,0.0,0.0,0.35,0.19,21.27,19.01,0.0,0.0,0.0,0.0,3,2,1,90.0,90.0,90.0,2.0,2
1179,432,34,2021-04-29 14:46:21,100.0,0.8,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.18,3.0,61.88,73.12,0.06,0.06,0.0,0.0,0.18,0.31,0.88,1.06,0.12,0.12,0.0,0.0,0.06,0.25,12.28,13.5,0.85,2.54,5.88,6.5,2,1,0,90.0,90.0,0.0,2.0,0
1180,433,34,2021-04-29 14:46:21,0.0,0.0,u,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1181,434,34,2021-04-29 14:46:21,0.0,0.0,u,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1182,435,34,2021-04-29 14:46:21,50.0,0.2,d,330,1.21,1.12,4,0,2021-05-03 19:15:00,3.82,4.44,82.47,84.38,0.0,0.0,0.24,0.38,0.29,0.31,1.06,1.19,0.12,0.06,0.0,0.0,0.53,0.69,16.34,18.71,20.89,20.79,2.06,2.56,0,0,0,0.0,0.0,52.0,2.0,2
1183,436,34,2021-04-29 14:46:21,100.0,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.53,0.44,10.59,10.31,0.0,0.0,0.06,0.0,0.0,0.06,0.24,0.19,0.06,0.12,0.0,0.0,0.0,0.0,2.29,0.69,3.14,1.52,5.65,0.62,0,0,0,0.0,0.0,0.0,2.0,0
1184,437,34,2021-04-29 14:46:21,0.0,0.2,i,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.88,2.56,46.71,46.88,0.24,0.19,0.12,0.19,0.18,0.12,0.65,0.62,0.12,0.06,0.0,0.0,0.65,0.12,13.4,11.18,8.55,7.71,22.71,27.81,0,0,0,0.0,0.0,0.0,2.0,13
1185,438,34,2021-04-29 14:46:21,100.0,0.8,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.71,0.94,14.29,18.12,0.06,0.0,0.0,0.06,0.0,0.06,0.29,0.25,0.06,0.06,0.0,0.0,0.0,0.0,4.96,4.28,5.67,4.28,1.71,4.19,2,1,0,82.0,1.0,0.0,2.0,0
1186,439,34,2021-04-29 14:46:21,100.0,0.5,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.82,0.69,16.94,8.5,0.0,0.06,0.06,0.0,0.06,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.0,0.0,3.21,2.82,5.29,2.59,4.47,1.56,1,1,0,21.0,3.0,0.0,2.0,2
1187,440,34,2021-04-29 14:46:21,0.0,0.0,u,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.02,0.01,0.0,0.12,0,0,0,0.0,0.0,0.0,2.0,0
1188,441,34,2021-04-29 14:46:21,0.0,0.0,u,330,1.21,1.12,4,0,2021-05-03 19:15:00,1.24,1.25,26.53,30.06,0.12,0.06,0.0,0.0,0.06,0.12,0.41,0.31,0.0,0.0,0.0,0.0,0.06,0.19,5.67,4.58,4.49,3.46,9.35,12.62,0,0,0,0.0,0.0,0.0,2.0,0
1189,442,34,2021-04-29 14:46:21,50.0,1.2,d,330,1.21,1.12,4,0,2021-05-03 19:15:00,1.29,1.25,29.12,31.94,0.0,0.0,0.06,0.06,0.12,0.12,0.41,0.5,0.06,0.06,0.0,0.0,0.18,0.06,6.19,5.14,6.28,5.86,1.29,2.5,0,0,0,0.0,0.0,90.0,2.0,0
1190,443,34,2021-04-29 14:46:21,100.0,-0.2,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.94,1.44,38.65,33.75,0.0,0.06,0.0,0.0,0.12,0.12,0.59,0.56,0.06,0.0,0.06,0.0,0.0,0.0,8.02,7.78,0.45,0.09,1.71,3.12,-1,0,0,80.0,0.0,37.0,2.0,0
1191,444,34,2021-04-29 14:46:21,0.0,0.0,u,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1192,445,34,2021-04-29 14:46:21,,6.2,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,4.71,3.06,73.94,67.25,0.35,0.12,0.12,0.19,0.24,0.19,0.94,1.06,0.0,0.0,0.0,0.0,0.47,0.0,17.81,12.99,11.66,15.77,21.18,24.69,2,5,12,90.0,90.0,83.0,2.0,1
1193,447,34,2021-04-29 14:46:21,0.0,0.0,u,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1194,448,34,2021-04-29 14:46:21,0.0,0.0,i,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.59,2.0,79.41,78.75,0.06,0.0,0.06,0.0,0.29,0.31,1.06,1.06,0.06,0.06,0.0,0.0,0.12,0.0,17.09,12.7,8.08,10.98,10.18,6.38,0,0,0,0.0,0.0,0.0,2.0,0
1195,449,34,2021-04-29 14:46:21,100.0,2.2,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,3.76,4.19,90.0,90.0,0.24,0.31,0.12,0.0,0.29,0.31,1.24,1.38,0.24,0.12,0.0,0.06,0.29,0.62,22.36,24.05,6.79,6.69,22.71,25.38,2,2,4,90.0,90.0,90.0,2.0,2
1196,450,34,2021-04-29 14:46:21,100.0,3.2,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.47,3.5,60.82,68.06,0.0,0.19,0.24,0.12,0.24,0.25,0.65,1.12,0.12,0.06,0.0,0.0,0.12,0.31,5.62,14.74,5.96,12.06,10.18,14.12,2,2,2,68.0,90.0,90.0,2.0,2
1197,451,34,2021-04-29 14:46:21,100.0,2.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,1.59,0.56,43.94,28.12,0.06,0.06,0.0,0.0,0.12,0.0,0.59,0.62,0.12,0.06,0.0,0.0,0.06,0.0,11.39,8.19,0.23,0.79,1.35,1.56,2,5,1,90.0,90.0,90.0,2.0,2
1198,452,34,2021-04-29 14:46:21,,1.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,1.12,0.38,14.82,16.5,0.06,0.0,0.0,0.0,0.06,0.0,0.18,0.44,0.0,0.06,0.0,0.0,0.0,0.0,3.56,2.34,0.95,2.97,1.0,0.69,1,1,1,7.0,90.0,8.0,2.0,0
1199,558,34,2021-04-29 14:46:21,,3.5,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,4.0,3.0,89.6,84.0,0.0,0.0,0.27,0.2,0.27,0.27,1.27,1.33,0.13,0.07,0.0,0.0,0.6,0.0,20.87,18.24,18.77,17.69,4.8,7.0,2,4,4,90.0,90.0,90.0,2.0,7
1200,576,34,2021-04-29 14:46:21,0.0,-0.5,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.4,1.93,48.0,53.93,0.13,0.07,0.0,0.0,0.2,0.21,0.67,0.79,0.0,0.07,0.0,0.07,0.07,0.14,11.11,11.4,0.89,0.94,9.47,4.21,0,-3,1,0.0,35.0,90.0,2.0,1
1201,587,34,2021-04-29 14:46:21,,1.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,2.0,1.54,39.53,39.69,0.0,0.0,0.2,0.08,0.13,0.08,0.6,0.46,0.0,0.0,0.0,0.0,0.0,0.0,8.36,5.48,9.0,9.28,10.73,10.62,1,1,1,21.0,15.0,6.0,2.0,7
1202,637,34,2021-04-29 14:46:21,,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1203,638,34,2021-04-29 14:46:21,,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1204,668,34,2021-04-29 14:46:21,,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1205,669,34,2021-04-29 14:46:21,,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
1206,674,34,2021-04-29 14:46:21,,0.0,a,330,1.21,1.12,4,0,2021-05-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
